TEKS,Class period,1st SW Blue,1st SW White,2nd SW Blue,2nd SW White,3rd SW Blue,3rd SW White
8.2D,1st period,40%,43%,64%,54%,,54%
8.2D,2nd period,60%,40%,38%,42%,,46%
8.2D,4th period,70%,46%,38%,48%,,42%
8.2D,5th period,60%,55%,37%,46%,,56%
8.2D,6th period,78%,43%,54%,46%,,54%
8.11B,1st period,52%,68%,,,,
8.11B,2nd period,34%,33%,,,,
8.11B,4th period,25%,36%,,,,
8.11B,5th period,60%,52%,,,,
8.11B,6th period,60%,32%,,,,
8.4B,1st period,,,52%,41%,56%,46%
8.4B,2nd period,,,39%,39%,50%,20%
8.4B,4th period,,,60%,28%,64%,38%
8.4C,1st period,,,20%,48%,71%,
8.4C,2nd period,,,21%,37%,48%,
8.4C,4th period,,,24%,48%,60%,
8.4C,5th period,,,8%,48%,40%,
8.4C,6th period,,,25%,48%,60%,
8.5A,1st period,,,40%,50%,35%,56%
8.5A,2nd period,,,38%,42%,30%,36%
